"Key","en","hi","bn","gu","ml","mr","ta","te","ur"
"notification-reminder-20","Record your transactions for the day to get a complete picture of your spending habits.","अपनी खर्च करने की आदतों की पूरी तस्वीर प्राप्त करने के लिए दिन के लिए अपने लेनदेन को रिकॉर्ड करें।","আপনার ব্যয়ের অভ্যাসের সম্পূর্ণ চিত্র পেতে দিনের জন্য আপনার লেনদেনগুলি রেকর্ড করুন।","તમારી ખર્ચની ટેવનો સંપૂર્ણ અંદાજ મેળવવા માટે દિવસના વ્યવહારોની નોધ કરો.","നിങ്ങളുടെ ചെലവ് ശീലങ്ങളുടെ പൂർണ്ണമായ ചിത്രം ലഭിക്കുന്നതിന് നിങ്ങളുടെ ഇടപാടുകൾ രേഖപ്പെടുത്തുക.","आपल्या खर्चाच्या सवयीचे संपूर्ण चित्र मिळविण्यासाठी दिवसासाठी आपले व्यवहार रेकॉर्ड करा.","உங்கள் செலவு பழக்கவழக்கங்களின் முழுமையான படத்தைப் பெற உங்கள் பரிவர்த்தனைகளை நாள் பதிவு செய்யுங்கள்.","మీ ఖర్చు అలవాట్ల యొక్క పూర్తి చిత్రాన్ని పొందడానికి రోజు మీ లావాదేవీలను రికార్డ్ చేయండి.","اپنے اخراجات کی عادات کی مکمل تصویر حاصل کرنے کے لئے دن کے ل your اپنے لین دین کو ریکارڈ کریں۔"
"notification-reminder-21","Don't forget to add your daily transactions to stay on track with your budget.","अपने बजट के साथ ट्रैक पर रहने के लिए अपने दैनिक लेनदेन को जोड़ना न भूलें।","আপনার বাজেটের সাথে ট্র্যাকে থাকতে আপনার প্রতিদিনের লেনদেন যুক্ত করতে ভুলবেন না।","તમારા અંદાજત્રને વ્યવસ્થિત રાખવા માટે રોજિંદા વ્યવહારો ઉમેરવાનું ભૂલતા નહિં.","നിങ്ങളുടെ ബജറ്റ് ഉപയോഗിച്ച് ട്രാക്കിൽ തുടരാൻ നിങ്ങളുടെ ദൈനംദിന ഇടപാടുകൾ ചേർക്കാൻ മറക്കരുത്.","आपल्या बजेटसह ट्रॅकवर राहण्यासाठी आपले दैनंदिन व्यवहार जोडणे विसरू नका.","உங்கள் பட்ஜெட்டில் தொடர்ந்து இருக்க உங்கள் அன்றாட பரிவர்த்தனைகளைச் சேர்க்க மறக்காதீர்கள்.","మీ బడ్జెట్‌తో ట్రాక్‌లో ఉండటానికి మీ రోజువారీ లావాదేవీలను జోడించడం మర్చిపోవద్దు.","اپنے بجٹ کے ساتھ ٹریک پر رہنے کے ل your اپنے روزانہ کے لین دین کو شامل کرنا نہ بھولیں۔"
"notification-reminder-22","Take a few minutes to update your budget with today's expenses.","आज के खर्चों के साथ अपने बजट को अपडेट करने के लिए कुछ मिनट लें।","আজকের ব্যয়ের সাথে আপনার বাজেট আপডেট করতে কয়েক মিনিট সময় নিন।","તમારા અંદાજપત્રમાં આજના વ્યવહારો ઉમેરવા માટે થોડો સમય કાઢો","ഇന്നത്തെ ചെലവുകൾ ഉപയോഗിച്ച് നിങ്ങളുടെ ബജറ്റ് അപ്ഡേറ്റ് ചെയ്യുന്നതിന് കുറച്ച് മിനിറ്റ് എടുക്കുക.","आजच्या खर्चासह आपले बजेट अद्यतनित करण्यासाठी काही मिनिटे घ्या.","இன்றைய செலவினங்களுடன் உங்கள் பட்ஜெட்டைப் புதுப்பிக்க சில நிமிடங்கள் எடுத்துக் கொள்ளுங்கள்.","నేటి ఖర్చులతో మీ బడ్జెట్‌ను నవీకరించడానికి కొన్ని నిమిషాలు కేటాయించండి.","آج کے اخراجات کے ساتھ اپنے بجٹ کو اپ ڈیٹ کرنے میں کچھ منٹ لگیں۔"
"notification-reminder-23","Make sure to add any expenses from today to your budget tracker.","अपने बजट ट्रैकर में आज से कोई भी खर्च जोड़ना सुनिश्चित करें।","আজ থেকে আপনার বাজেট ট্র্যাকারে কোনও ব্যয় যুক্ত করার বিষয়টি নিশ্চিত করুন।","આજે કરેલ કોઇપણ ખર્ચ ઉમેર્યાની ખાતરી કરો","നിങ്ങളുടെ ബജറ്റ് ട്രാക്കറിലേക്ക് ഇന്ന് മുതൽ എന്തെങ്കിലും ചെലവുകൾ ചേർക്കുന്നത് ഉറപ്പാക്കുക.","आपल्या बजेट ट्रॅकरमध्ये आजपासून कोणतेही खर्च जोडण्याची खात्री करा.","இன்று முதல் உங்கள் பட்ஜெட் டிராக்கருக்கு ஏதேனும் செலவுகளைச் சேர்க்க உறுதிசெய்க.","ఈ రోజు నుండి మీ బడ్జెట్ ట్రాకర్‌కు ఏదైనా ఖర్చులను జోడించాలని నిర్ధారించుకోండి.","آج سے اپنے بجٹ ٹریکر میں کسی بھی اخراجات کو شامل کرنا یقینی بنائیں۔"
"notification-reminder-24","Remember to record your transactions for the day to get a complete picture of your spending habits.","अपने खर्च करने की आदतों की पूरी तस्वीर प्राप्त करने के लिए दिन के लिए अपने लेनदेन को रिकॉर्ड करना याद रखें।","আপনার ব্যয়ের অভ্যাসের সম্পূর্ণ চিত্র পেতে দিনের জন্য আপনার লেনদেনগুলি রেকর্ড করতে ভুলবেন না।","તમારી ખર્ચની ટેવનો સંપૂર્ણ અંદાજ મેળવવા માટે આજ્ના તમામ વ્યવહારોની નોધ કરો.","നിങ്ങളുടെ ചെലവ് ശീലങ്ങളുടെ പൂർണ്ണമായ ചിത്രം ലഭിക്കുന്നതിന് നിങ്ങളുടെ ഇടപാടുകൾ രേഖപ്പെടുത്താൻ ഓർമ്മിക്കുക.","आपल्या खर्चाच्या सवयीचे संपूर्ण चित्र मिळविण्यासाठी दिवसासाठी आपले व्यवहार रेकॉर्ड करणे लक्षात ठेवा.","உங்கள் செலவு பழக்கவழக்கங்களின் முழுமையான படத்தைப் பெற உங்கள் பரிவர்த்தனைகளை நாள் பதிவு செய்ய நினைவில் கொள்ளுங்கள்.","మీ ఖర్చు అలవాట్ల యొక్క పూర్తి చిత్రాన్ని పొందడానికి రోజు మీ లావాదేవీలను రికార్డ్ చేయడం గుర్తుంచుకోండి.","اپنے اخراجات کی عادات کی مکمل تصویر حاصل کرنے کے لئے دن کے ل your اپنے لین دین کو ریکارڈ کرنا یاد رکھیں۔"
"notification-reminder-25","Add your daily transactions to the app to keep your budget on track.","अपने बजट को ट्रैक पर रखने के लिए अपने दैनिक लेनदेन को ऐप में जोड़ें।","আপনার বাজেটকে ট্র্যাক রাখতে আপনার প্রতিদিনের লেনদেনগুলি অ্যাপ্লিকেশনটিতে যুক্ত করুন।","તમારા અંદાજપત્રને વ્યવસ્થિત રાખવા માટે એપ્લિકેશનમાં તમારા દૈનિક વ્યવહારો ઉમેરો.","നിങ്ങളുടെ ബജറ്റ് ട്രാക്കിൽ സൂക്ഷിക്കുന്നതിന് നിങ്ങളുടെ ദൈനംദിന ഇടപാടുകൾ അപ്ലിക്കേഷനിൽ ചേർക്കുക.","आपले बजेट ट्रॅकवर ठेवण्यासाठी अ‍ॅपमध्ये आपले दैनंदिन व्यवहार जोडा.","உங்கள் பட்ஜெட்டை கண்காணிக்க பயன்பாட்டில் உங்கள் அன்றாட பரிவர்த்தனைகளைச் சேர்க்கவும்.","మీ బడ్జెట్‌ను ట్రాక్ చేయడానికి మీ రోజువారీ లావాదేవీలను అనువర్తనానికి జోడించండి.","اپنے بجٹ کو ٹریک پر رکھنے کے لئے اپنے روزانہ کے لین دین کو ایپ میں شامل کریں۔"
"notification-reminder-26","Stay on top of your budget by adding your daily transactions to the app.","ऐप में अपने दैनिक लेनदेन को जोड़कर अपने बजट के शीर्ष पर रहें।","অ্যাপ্লিকেশনটিতে আপনার প্রতিদিনের লেনদেন যুক্ত করে আপনার বাজেটের শীর্ষে থাকুন।","એપ્લિકેશનમાં તમારા દૈનિક વ્યવહારો ઉમેરીને તમારા અંદાજપત્રની ટોચ પર રહો.","നിങ്ങളുടെ ദൈനംദിന ഇടപാടുകൾ അപ്ലിക്കേഷനിലേക്ക് ചേർത്ത് നിങ്ങളുടെ ബജറ്റിന് മുകളിൽ തുടരുക.","अ‍ॅपमध्ये आपले दैनंदिन व्यवहार जोडून आपल्या बजेटच्या शीर्षस्थानी रहा.","பயன்பாட்டில் உங்கள் அன்றாட பரிவர்த்தனைகளைச் சேர்ப்பதன் மூலம் உங்கள் பட்ஜெட்டுக்கு மேல் இருங்கள்.","మీ రోజువారీ లావాదేవీలను అనువర్తనానికి జోడించడం ద్వారా మీ బడ్జెట్ పైన ఉండండి.","ایپ میں اپنے روزانہ کے لین دین کو شامل کرکے اپنے بجٹ کے اوپری حصے پر رہیں۔"
"notification-reminder-title","Add Transactions","लेनदेन जोड़ें","লেনদেন যোগ করুন","વ્યવહારો ઉમેરો","ഇടപാടുകൾ ചേർക്കുക","व्यवहार जोडा","பரிவர்த்தனைகளைச் சேர்க்கவும்","లావాదేవీలను జోడించండి","لین دین شامل کریں"
"notification-upcoming-transaction-title","Upcoming Transaction Due","आगामी लेन -देन","আসন্ন লেনদেন কারণে","આગામી વ્યવહાર","വരാനിരിക്കുന്ന ഇടപാട് കുടിശ്ശിക","आगामी व्यवहार देय","வரவிருக்கும் பரிவர்த்தனை காரணமாக","రాబోయే లావాదేవీ","آئندہ لین دین کی وجہ سے"
"translations-help","If you would like to help with translations, please email","यदि आप अनुवादों के साथ मदद करना चाहते हैं, तो कृपया ईमेल करें","আপনি যদি অনুবাদগুলিতে সহায়তা করতে চান তবে দয়া করে ইমেল করুন","જો તમે અનુવાદમાં મદદ કરવા માંગતા હો, તો કૃપા કરીને ઇમેઇલ કરો","വിവർത്തനങ്ങളെ സഹായിക്കാൻ നിങ്ങൾ ആഗ്രഹിക്കുന്നുവെങ്കിൽ, ദയവായി ഇമെയിൽ ചെയ്യുക","आपण भाषांतरांमध्ये मदत करू इच्छित असल्यास, कृपया ईमेल करा","மொழிபெயர்ப்புகளுக்கு நீங்கள் உதவ விரும்பினால், தயவுசெய்து மின்னஞ்சல் செய்யவும்","మీరు అనువాదాలకు సహాయం చేయాలనుకుంటే, దయచేసి ఇమెయిల్ చేయండి","اگر آپ ترجموں میں مدد کرنا چاہتے ہیں تو ، براہ کرم ای میل کریں"
"no-transactions-for","No transactions for","के लिए कोई लेनदेन नहीं","জন্য কোনও লেনদেন নেই","માટે કોઈ વ્યવહાર નથી","ഇതിനായി ഇടപാടുകളൊന്നുമില്ല","साठी कोणतेही व्यवहार नाहीत","பரிவர்த்தனைகள் இல்லை","లావాదేవీలు లేవు","کے لئے کوئی لین دین نہیں ہے"
"average-spent","average spent","औसत खर्च","গড় ব্যয়","સરેરાશ ખર્ચ","ശരാശരി ചെലവഴിച്ച","सरासरी खर्च","செலவழித்த சராசரி","సగటు ఖర్చు","اوسط خرچ"
"average-saved","average saved","औसत बचाया गया","গড় সংরক্ষিত","સરેરાશ બચત","ശരാശരി സംരക്ഷിച്ചു","सरासरी जतन","சராசரி சேமிக்கப்பட்டது","సగటు సేవ్ చేయబడింది","اوسط محفوظ کیا"
"select-icon","Select Icon","आइकन का चयन करें","আইকন নির্বাচন করুন","ચિહ્ન પસંદ કરો","ഐക്കൺ തിരഞ്ഞെടുക്കുക","चिन्ह निवडा","ஐகானைத் தேர்ந்தெடுக்கவும்","చిహ్నాన్ని ఎంచుకోండి","آئیکن منتخب کریں"
"1-day-ago","1 day ago","1 दिन पहले","1 দিন আগে","1 દિવસ પહેલા","1 ദിവസം മുമ്പ്","1 दिवसांपूर्वी","1 நாள் முன்பு","1 రోజు క్రితం","1 دن قبل"
"1-hour-ago","1 hour ago","1 घंटे पहले","1 ঘন্টা আগে","1 કલાક પહેલા","1 മണിക്കൂർ മുമ്പ്","1 तासापूर्वी","1 மணி நேரத்திற்கு முன்பு","1 గంట క్రితం","1 گھنٹہ پہلے"
"1-minute-ago","1 minute ago","1 मिनट पहले","1 মিনিট আগে","1 મિનિટ પહેલા","1 മിനിറ്റ് മുമ്പ്","1 मिनिटापूर्वी","1 நிமிடம் முன்பு","1 నిమిషం క్రితం","1 منٹ پہلے"
"days-ago","days ago","दिन पहले","দিন আগে","દિવસો પેહલા","ദിവസങ്ങൾക്ക് മുൻപ്","दिवसांपूर्वी","சில நாட்களுக்கு முன்பு","రోజుల క్రితం","دنوں پہلے"
"hours-ago","hours ago","घंंटों पहले","ঘন্টা খানিক আগে","કલાકો પહેલા","മണിക്കൂറുകള്ക്ക് മുന്പ്","काही तासांपूर्वी","மணி நேரத்திற்க்கு முன்பு","గంటల క్రితం","گھنٹوں پہلے"
"minutes-ago","minutes ago","कुछ मिनट पहले","কিছুক্ষণ আগে","મીનીટો પહેલા","മിനിറ്റ് മുമ്പ്","मिनिटांपूर्वी","நிமிடங்களுக்கு முன்பு","నిమిషాల ముందు","کچھ لمحے قبل"
"just-now","just now","बस अब","এক্ষুনি","હમણાં જ","ഇപ്പോള്","आत्ताच","இப்போது","ఇప్పుడే","ابھی ابھی"
"synced","Synced","सिंक किया गया","সিঙ্কড","સુયોજિત કર્યુ","സമന്വയവും","Syned","ஒத்திசைக்கப்பட்டது","సమకాలీకరించబడింది","مطابقت پذیر"
"never","never","कभी नहीँ","কখনও না","ક્યારેય નહિં","ഒരിക്കലും","कधीही नाही","ஒருபோதும்","ఎప్పుడూ","کبھی نہیں"
"copied-to-clipboard","Copied To Clipboard","क्लिपबोर्ड पर नकल","ক্লিপবোর্ডে অনুলিপি করা হয়েছে","ક્લિપબોર્ડ પર નકલ કરી","ക്ലിപ്പ്ബോർഡിലേക്ക് പകർത്തി","क्लिपबोर्डवर कॉपी केली","கிளிப்போர்டுக்கு நகலெடுக்கப்பட்டது","క్లిప్‌బోర్డ్‌కు కాపీ చేయబడింది","کلپ بورڈ میں کاپی کیا"
"pasted-from-clipboard","Pasted from clipboard","क्लिपबोर्ड से चिपकाया गया","ক্লিপবোর্ড থেকে আটকানো","ક્લિપબોર્ડમાંથી પેસ્ટ કર્યું","ക്ലിപ്പ്ബോർഡിൽ നിന്ന് ഒട്ടിച്ചു","क्लिपबोर्ड वरून पेस्ट केलेले","கிளிப்போர்டிலிருந்து ஒட்டப்பட்டது","క్లిప్‌బోర్డ్ నుండి అతికించబడింది","کلپ بورڈ سے چسپاں کیا گیا"
"select-graph","Select Graph","ग्राफ का चयन करें","গ্রাফ নির্বাচন করুন","આલેખ પસંદ કરો","ഗ്രാഫ് തിരഞ്ഞെടുക്കുക","आलेख निवडा","வரைபடத்தைத் தேர்ந்தெடுக்கவும்","గ్రాఫ్ ఎంచుకోండి","گراف منتخب کریں"
"logout","Logout","लॉग आउट","প্রস্থান","લૉગ આઉટ","ലോഗൗട്ട്","बाहेर पडणे","வெளியேறு","లాగ్అవుట్","لاگ آوٹ"
"backup-found","Backup Found","बैकअप मिला","ব্যাকআপ পাওয়া গেছে","બેકઅપ મળ્યો","ബാക്കപ്പ് കണ്ടെത്തി","बॅकअप सापडला","காப்புப்பிரதி காணப்பட்டது","బ్యాకప్ కనుగొనబడింది","بیک اپ ملا"
"backup-found-description","Would you like to restore a backup?","क्या आप बैकअप को पुनर्स्थापित करना चाहेंगे?","আপনি কি একটি ব্যাকআপ পুনরুদ্ধার করতে চান?","શું તમે બેકઅપ પુન:સ્થાપિત કરવા માગો છો?","ഒരു ബാക്കപ്പ് പുന restore സ്ഥാപിക്കാൻ നിങ്ങൾ ആഗ്രഹിക്കുന്നുണ്ടോ?","आपण बॅकअप पुनर्संचयित करू इच्छिता?","காப்புப்பிரதியை மீட்டெடுக்க விரும்புகிறீர்களா?","మీరు బ్యాకప్‌ను పునరుద్ధరించాలనుకుంటున్నారా?","کیا آپ بیک اپ کو بحال کرنا چاہیں گے؟"
"restore","Restore","पुनर्स्थापित करना","পুনরুদ্ধার","પુનઃસ્થાપિત કરો","വീണ്ടെടുക്കുക","पुनर्संचयित","மீட்டமை","పునరుద్ధరించండి","بحال کریں"
"privacy-policy","Privacy Policy and Terms of Use","गोपनीयता नीति और उपयोग की शर्तें","গোপনীয়তা নীতি এবং ব্যবহারের শর্তাদি","ગોપનીયતા નીતિ અને ઉપયોગની શરતો","സ്വകാര്യതാ നയവും ഉപയോഗ നിബന്ധനകളും","गोपनीयता धोरण आणि वापर अटी","தனியுரிமைக் கொள்கை மற்றும் பயன்பாட்டு விதிமுறைகள்","గోప్యతా విధానం మరియు ఉపయోగ నిబంధనలు","رازداری کی پالیسی اور استعمال کی شرائط"
"budget-like-a-pro","Budget like a pro with","के साथ एक समर्थक की तरह बजट","সাথে একটি প্রো মত বাজেট","અનુભવીની જેમ અંદાજપત્ર બનાવો","ഒരു പ്രോ പോലുള്ള ബജറ്റ്","सह एक प्रो सारखे बजेट","ஒரு சார்பு போன்ற பட்ஜெட்","ప్రో వంటి బడ్జెట్","بجٹ کی طرح ایک پرو کے ساتھ"
"support-the-developer","Support the developer","डेवलपर का समर्थन करें","বিকাশকারীকে সমর্থন করুন","વિકાસકર્તાને ટેકો આપો","ഡവലപ്പറിനെ പിന്തുണയ്ക്കുക","विकसकास समर्थन द्या","டெவலப்பரை ஆதரிக்கவும்","డెవలపర్‌కు మద్దతు ఇవ్వండి","ڈویلپر کی حمایت کریں"
"support-the-developer-description","More than 3 years of development","3 साल से अधिक विकास","উন্নয়নের 3 বছরেরও বেশি সময়","વિકાસના 3થી વધુ વર્ષો","3 വർഷത്തിലധികം വികസനത്തിന്","3 वर्षांहून अधिक विकास","3 ஆண்டுகளுக்கும் மேலான வளர்ச்சி","3 సంవత్సరాల అభివృద్ధికి పైగా","ترقی کے 3 سال سے زیادہ"
"unlimited-budgets-and-goals","Unlimited budgets","असीमित बजट","সীমাহীন বাজেট","અમર્યાદિત અંદાજપ્ત્રો","പരിധിയില്ലാത്ത ബജറ്റുകൾ","अमर्यादित बजेट","வரம்பற்ற வரவு செலவுத் திட்டங்கள்","అపరిమిత బడ్జెట్లు","لامحدود بجٹ"
"unlimited-budgets-and-goals-description","Create more than 1 budget, goal, or loan","1 से अधिक बजट, लक्ष्य या ऋण बनाएं","1 টিরও বেশি বাজেট, লক্ষ্য বা loan ণ তৈরি করুন","1 થી વધુ અંદાજપત્ર, ધ્યેય અથવા લોન બનાવો","1 ബജറ്റ്, ലക്ഷ്യം, വായ്പ എന്നിവ സൃഷ്ടിക്കുക","1 हून अधिक अर्थसंकल्प, ध्येय किंवा कर्ज तयार करा","1 க்கும் மேற்பட்ட பட்ஜெட், இலக்கு அல்லது கடனை உருவாக்கவும்","1 కంటే ఎక్కువ బడ్జెట్, లక్ష్యం లేదా రుణాన్ని సృష్టించండి","1 سے زیادہ بجٹ ، گول ، یا قرض بنائیں"
"past-budget-periods","Past budget periods","पिछले बजट अवधि","অতীত বাজেটের সময়কাল","પાછલો અંદાજપત્રનો સમય","കഴിഞ്ഞ ബജറ്റ് കാലയളവുകൾ","मागील बजेट कालावधी","கடந்த பட்ஜெட் காலங்கள்","గత బడ్జెట్ కాలాలు","گذشتہ بجٹ کے ادوار"
"past-budget-periods-description","View spending breakdowns of past periods","पिछले अवधियों के खर्च के टूटने को देखें","বিগত পিরিয়ডের ব্যয় ব্রেকডাউনগুলি দেখুন","પાછલા સમયગાળામા થયેલ ખર્ચના ભંગાણ જુઓ","കഴിഞ്ഞ കാലഘട്ടങ്ങളുടെ ചെലവ് തകരുകൾ കാണുക","मागील कालावधीचे खर्च ब्रेकडाउन पहा","கடந்த காலங்களின் செலவு முறிவுகளைக் காண்க","గత కాలాల ఖర్చు విచ్ఛిన్నతను చూడండి","گذشتہ ادوار کے اخراجات میں خرابی دیکھیں"
"unlimited-color-picker","Unlimited color picker","असीमित रंग पिकर","সীমাহীন রঙ বাছাইকারী","અમર્યાદિત રંગ પસંદગી","പരിധിയില്ലാത്ത കളർ പിക്കർ","अमर्यादित रंग निवडी","வரம்பற்ற வண்ண தேர்வாளர்","అపరిమిత కలర్ పికర్","لامحدود رنگ چننے والا"
"unlimited-color-picker-description","Pick any color you want","आप चाहते हैं कि कोई भी रंग चुनें","আপনি চান যে কোনও রঙ চয়ন করুন","તમે ઇચ્છો તેમાથી કોઈપણ રંગ પસંદ કરો","നിങ്ങൾക്ക് ആവശ്യമുള്ള ഏതെങ്കിലും നിറം തിരഞ്ഞെടുക്കുക","आपल्याला पाहिजे असलेला कोणताही रंग निवडा","நீங்கள் விரும்பும் எந்த நிறத்தையும் தேர்ந்தெடுங்கள்","మీకు కావలసిన రంగును ఎంచుకోండి","آپ جو بھی رنگ چاہتے ہیں اسے منتخب کریں"
"continue-for-free","Continue for free","मुफ्त में जारी रखें","বিনামূল্যে চালিয়ে যান","મફતમાં ચાલુ રાખો","സ for ജന്യമായി തുടരുക","विनामूल्य सुरू ठेवा","இலவசமாக தொடரவும்","ఉచితంగా కొనసాగించండి","مفت جاری رکھیں"
"colorful-interface","Colorful Interface","रंगीन इंटरफ़ेस","রঙিন ইন্টারফেস","રંગબેરંગી ઇન્ટરફેસ","വർണ്ണാഭമായ ഇന്റർഫേസ്","रंगीबेरंगी इंटरफेस","வண்ணமயமான இடைமுகம்","రంగురంగుల ఇంటర్ఫేస్","رنگین انٹرفیس"
"theme-color","Theme Color","थीम रंग","থিম রঙ","વિષય -રંગ","തീം നിറം","थीम रंग","தீம் நிறம்","థీమ్ కలర్","تھیم رنگ"
"google-drive-backup-disclaimer","Google Drive is used to backup your data. Please login to your Google account to continue.","गूगल ड्राइव का उपयोग आपके डेटा का बैकअप लेने के लिए किया जाता है। जारी रखने के लिए कृपया अपने गूगल खाते में लॉगिन करें।","গুগল ড্রাইভ আপনার ডেটা ব্যাকআপ করতে ব্যবহৃত হয়। চালিয়ে যেতে আপনার গুগল অ্যাকাউন্টে লগইন করুন।","તમારા ડેટાનો બેકઅપ લેવા માટે Google Driveનો ઉપયોગ થાય છે, ચાલુ રાખવા માટે ક્રુપા કરી પ્ર્વેશ કરો.","നിങ്ങളുടെ ഡാറ്റ ബാക്കപ്പ് ചെയ്യുന്നതിന് Google ഡ്രൈവ് ഉപയോഗിക്കുന്നു. തുടരുന്നതിന് ദയവായി നിങ്ങളുടെ Google അക്കൗണ്ടിലേക്ക് പ്രവേശിക്കുക.","Google ड्राइव्हचा आपला डेटा बॅकअप करण्यासाठी वापरला जातो. कृपया सुरू ठेवण्यासाठी आपल्या Google खात्यावर लॉगिन करा.","உங்கள் தரவை காப்புப் பிரதி எடுக்க Google இயக்கி பயன்படுத்தப்படுகிறது. தொடர உங்கள் Google கணக்கில் உள்நுழைக.","మీ డేటాను బ్యాకప్ చేయడానికి Google డ్రైవ్ ఉపయోగించబడుతుంది. కొనసాగించడానికి దయచేసి మీ Google ఖాతాకు లాగిన్ అవ్వండి.","گوگل ڈرائیو کا استعمال آپ کے ڈیٹا کو بیک اپ کرنے کے لئے کیا جاتا ہے۔ براہ کرم جاری رکھنے کے لئے اپنے گوگل اکاؤنٹ میں لاگ ان کریں۔"
"continue","Continue","जारी रखना","চালিয়ে যান","ચાલુ રાખો","തുടരുക","सुरू","தொடரவும்","కొనసాగించండి","جاری رہے"
"set-name","Set Name","नाम भरें","নাম ঠিক কর","નામ રાખો","നിരീവത്തിന്റെ പേര്","नाव सेट करा","பெயரை அமைக்கவும்","పేరు సెట్ చేయండి","نام مقرر کریں"
"edit-spending-goals","Edit Spending Goals","खर्च करने के लक्ष्य संपादित करें","ব্যয় ব্যয় সম্পাদনা করুন","ખર્ચના લક્ષ્યો સંપાદિત કરો","തിരുത്തുക ചെലവ് ലക്ഷ്യങ്ങൾ","खर्च ध्येय संपादित करा","செலவு இலக்குகளைத் திருத்தவும்","ఖర్చు లక్ష్యాలను సవరించండి","اخراجات کے اہداف میں ترمیم کریں"
"spending-goals","Spending Goals","लक्ष्य खर्च","লক্ষ্য ব্যয়","ખર્ચનો ધ્યેય","ഗോളുകൾ ചെലവഴിക്കുന്നു","ध्येय खर्च","செலவு இலக்குகள்","లక్ష్యాలను ఖర్చు చేయడం","اہداف خرچ کرنا"
"added-budget-description","This budget will only include transactions that have been added to it.","इस बजट में केवल लेनदेन शामिल होंगे जो इसमें जोड़े गए हैं।","এই বাজেটে কেবল এতে যুক্ত হওয়া লেনদেন অন্তর্ভুক্ত থাকবে।","આ બજેટમાં ફક્ત તે જ વ્યવહારો શામેલ હશે જે તેમાં ઉમેરવામાં આવ્યા છે.","ഈ ബജറ്റിനെ ഉൾപ്പെടുത്തിയിട്ടുള്ള ഇടപാടുകൾ മാത്രമേ ഉൾപ്പെടുത്തുകയുള്ളൂ.","या बजेटमध्ये केवळ त्यात जोडलेले व्यवहार समाविष्ट असतील.","இந்த பட்ஜெட்டில் அதில் சேர்க்கப்பட்ட பரிவர்த்தனைகள் மட்டுமே இருக்கும்.","ఈ బడ్జెట్‌లో దీనికి జోడించిన లావాదేవీలు మాత్రమే ఉంటాయి.","اس بجٹ میں صرف لین دین شامل ہوں گے جو اس میں شامل کیے گئے ہیں۔"
"history","History","इतिहास","ইতিহাস","ઇતિહાસ","ചരിതം","इतिहास","வரலாறு","చరిత్ర","تاریخ"
"backup","Backup","बैकअप","ব্যাকআপ","પીઠ","ബാക്കപ്പ്","बॅकअप","காப்புப்பிரதி","బ్యాకప్","بیک اپ"
"google-drive-backup","Google Drive Backup","गूगल ड्राइव बैकअप","গুগল ড্রাইভ ব্যাকআপ","ગૂગલ ડ્રાઇવ બેકઅપ","Google ഡ്രൈവ് ബാക്കപ്പ്","गूगल ड्राइव्ह बॅकअप","கூகிள் டிரைவ் காப்புப்பிரதி","గూగుల్ డ్రైవ్ బ్యాకప్","گوگل ڈرائیو بیک اپ"
"google-drive-backup-description","All backups are created on your personal Google Drive and is not accessible to the developer. Read the Privacy Policy for more details.","सभी बैकअप आपके व्यक्तिगत गूगल ड्राइव पर बनाए गए हैं और डेवलपर के लिए सुलभ नहीं हैं। अधिक जानकारी के लिए गोपनीयता नीति पढ़ें।","সমস্ত ব্যাকআপগুলি আপনার ব্যক্তিগত গুগল ড্রাইভে তৈরি করা হয়েছে এবং এটি বিকাশকারীর কাছে অ্যাক্সেসযোগ্য নয়। আরও তথ্যের জন্য গোপনীয়তা নীতিটি পড়ুন।","બધા બેકઅપ્સ તમારી વ્યક્તિગત ગૂગલ ડ્રાઇવ પર બનાવવામાં આવ્યા છે અને તે વિકાસકર્તા માટે ible ક્સેસિબલ નથી. વધુ વિગતો માટે ગોપનીયતા નીતિ વાંચો.","നിങ്ങളുടെ സ്വകാര്യ Google ഡ്രൈവിൽ എല്ലാ ബാക്കപ്പുകളും സൃഷ്ടിക്കപ്പെടുന്നു, അത് ഡവലപ്പറിലേക്ക് പ്രവേശിക്കില്ല. കൂടുതൽ വിവരങ്ങൾക്ക് സ്വകാര്യതാ നയം വായിക്കുക.","सर्व बॅकअप आपल्या वैयक्तिक Google ड्राइव्हवर तयार केले गेले आहेत आणि विकसकासाठी प्रवेशयोग्य नाहीत. अधिक माहितीसाठी गोपनीयता धोरण वाचा.","அனைத்து காப்புப்பிரதிகளும் உங்கள் தனிப்பட்ட Google இயக்ககத்தில் உருவாக்கப்பட்டுள்ளன, மேலும் டெவலப்பருக்கு அணுக முடியாது. மேலும் விவரங்களுக்கு தனியுரிமைக் கொள்கையைப் படியுங்கள்.","అన్ని బ్యాకప్‌లు మీ వ్యక్తిగత Google డ్రైవ్‌లో సృష్టించబడతాయి మరియు డెవలపర్‌కు అందుబాటులో ఉండవు. మరిన్ని వివరాల కోసం గోప్యతా విధానాన్ని చదవండి.","آپ کے ذاتی گوگل ڈرائیو پر تمام بیک اپ بنائے گئے ہیں اور یہ ڈویلپر تک قابل رسائی نہیں ہے۔ مزید تفصیلات کے لئے رازداری کی پالیسی پڑھیں۔"
